segmento,estado_venda,nome_bem,endereco_mestre,distrito,proprietario,tipo_zepec,esfera,m2_ja_transferido,pcpt_m2,saldo_pcpt_m2,preco_legal_ref_brl,preco_proxy_brl,zona,ca_basico,fi_aplicado,regime_pcpt,qualidade_estimativa,area_terreno_m2,v_outorga_m2_q14,v_outorga_max_q14,pendencia_calculo,status_fundurb,intercorrencia_fundurb,data_ref,sql_mestre
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 571",Bela Vista,,tombado,municipal,,361.20,361.20,406263.31,1625053.25,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,301,4499.04,4499.04,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090220003
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 569",Bela Vista,,tombado,municipal,,72.00,72.00,80982.72,323930.88,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,60,4499.04,4499.04,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090220002
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Almirante Marques de Leão, 826",Bela Vista,,tombado,municipal,,126.00,126.00,168103.85,566404.02,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,105,4495.27,5336.63,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5336.63/m² (face atual: R$4495.27/m²)",,,2002-12-14,0090180073
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 124",Bela Vista,,tombado,municipal,,226.80,226.80,495622.64,1757389.28,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,189,7748.63,8741.14,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8741.14/m² (face atual: R$7748.63/m²)",,,2002-12-14,0090200029
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Almirante Marques de Leão, 808",Bela Vista,,tombado,municipal,,130.80,130.80,174507.80,587981.32,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,109,4495.27,5336.63,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5336.63/m² (face atual: R$4495.27/m²)",,,2002-12-14,0090180070
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 794",Bela Vista,,tombado,municipal,,110.40,110.40,186364.59,506288.88,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,92,4585.95,6752.34,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6752.34/m² (face atual: R$4585.95/m²)",,,2002-12-14,0090380005
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 45, 47",Bela Vista,,tombado,municipal,,252.00,252.00,448329.42,1793317.68,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,210,7116.34,7116.34,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090210015
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Fortaleza, 163",Bela Vista,,tombado,municipal,,81.60,81.60,131838.06,290346.67,ZEIS-5,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,68,3558.17,6462.65,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6462.65/m² (face atual: R$3558.17/m²)",,,2002-12-14,0090410062
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Sílvia, 211",Bela Vista,,tombado,municipal,,180.00,180.00,240885.45,852224.40,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,150,4734.58,5353.01,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5353.01/m² (face atual: R$4734.58/m²)",,,2002-12-14,0090170061
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conselheiro Carrão, 451",Bela Vista,,tombado,municipal,,146.40,146.40,260458.05,941890.75,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,122,6433.68,7116.34,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$7116.34/m² (face atual: R$6433.68/m²)",,,2002-12-14,0090210001
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 641",Bela Vista,,tombado,municipal,,72.00,72.00,121542.12,486168.48,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,60,6752.34,6752.34,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090380048
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Rocha, 396",Bela Vista,,tombado,municipal,,162.00,162.00,216796.91,689668.02,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,135,4257.21,5353.01,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5353.01/m² (face atual: R$4257.21/m²)",,,2002-12-14,0090170008
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 484, 3",Bela Vista,,tombado,municipal,,108.00,108.00,141402.51,453929.40,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,90,4203.05,5237.13,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5237.13/m² (face atual: R$4203.05/m²)",,,2002-12-14,0090060016
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Sílvia, 203, 13",Bela Vista,,tombado,municipal,,66.00,66.00,88324.67,312482.28,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,55,4734.58,5353.01,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5353.01/m² (face atual: R$4734.58/m²)",,,2002-12-14,0090170179
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Doutor Luís Barreto, 183",Bela Vista,,tombado,municipal,,159.60,159.60,173983.95,628994.77,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,133,3941.07,4360.50,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4360.50/m² (face atual: R$3941.07/m²)",,,2002-12-14,0090040021
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Artur Prado, 40",Bela Vista,,tombado,municipal,,444.00,444.00,1061981.40,3029358.72,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,370,6822.88,9567.40,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$9567.40/m² (face atual: R$6822.88/m²)",,,2002-12-14,0090570048
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Sílvia, 159",Bela Vista,,tombado,municipal,,218.40,218.40,292274.35,1034032.27,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,182,4734.58,5353.01,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5353.01/m² (face atual: R$4734.58/m²)",,,2002-12-14,0090170044
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 484, 2",Bela Vista,,tombado,municipal,,76.80,76.80,100552.90,322794.24,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,64,4203.05,5237.13,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5237.13/m² (face atual: R$4203.05/m²)",,,2002-12-14,0090060015
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Rui Barbosa, 649",Bela Vista,,tombado,municipal,,240.00,240.00,387759.00,922884.00,ZEIS-5,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,200,3845.35,6462.65,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6462.65/m² (face atual: R$3845.35/m²)",,,2002-12-14,0090410032
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Franceses, 71",Bela Vista,,tombado,municipal,,184.80,184.80,403840.67,1348851.50,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,154,7298.98,8741.14,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8741.14/m² (face atual: R$7298.98/m²)",,,2002-12-14,0090200004
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 447",Bela Vista,,tombado,municipal,,223.20,223.20,376780.57,1507122.29,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,186,6752.34,6752.34,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090380060
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 984",Bela Vista,,tombado,municipal,,372.00,372.00,627967.62,1705973.40,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,310,4585.95,6752.34,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6752.34/m² (face atual: R$4585.95/m²)",,,2002-12-14,0090380031
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Avenida Brigadeiro Luís Antônio, 1595, 1599, 1605, 1607, 401, 403, 409, 413, 415, 427",Bela Vista,,tombado,municipal,,609.00,609.00,1355000.64,5400063.90,ZEU,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,609,8867.10,8899.84,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8899.84/m² (face atual: R$8867.10/m²)",,,2002-12-14,0090530287
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Franceses, 258",Bela Vista,,tombado,municipal,,318.00,318.00,679500.81,2718003.24,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,265,8547.18,8547.18,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090190035
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Fortaleza, 167",Bela Vista,,tombado,municipal,,81.60,81.60,131838.06,290346.67,ZEIS-5,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,68,3558.17,6462.65,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6462.65/m² (face atual: R$3558.17/m²)",,,2002-12-14,0090410061
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Almirante Marques de Leão, 331",Bela Vista,,tombado,municipal,,108.00,108.00,137559.60,515959.20,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,90,4777.40,5094.80,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5094.80/m² (face atual: R$4777.40/m²)",,,2002-12-14,0090940030
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Professor Laerte Ramos de Carvalho, 77, 19, 33",Bela Vista,,tombado,municipal,,199.20,199.20,215333.71,861334.82,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,166,4323.97,4323.97,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090080078
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Alameda Ribeirão Preto, 302",Bela Vista,,tombado,municipal,,324.00,324.00,432267.03,1729068.12,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,270,5336.63,5336.63,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090180081
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 703",Bela Vista,,tombado,municipal,,528.00,528.00,593873.28,2375493.12,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,440,4499.04,4499.04,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090220159
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Major Diogo, 638, 644",Bela Vista,,tombado,municipal,,571.20,571.20,617462.92,2428839.50,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,476,4252.17,4323.97,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4323.97/m² (face atual: R$4252.17/m²)",,,2002-12-14,0090080332
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 484, 1",Bela Vista,,tombado,municipal,,109.20,109.20,142973.65,458973.06,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,91,4203.05,5237.13,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5237.13/m² (face atual: R$4203.05/m²)",,,2002-12-14,0090060014
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 405",Bela Vista,,tombado,municipal,,117.60,117.60,198518.80,794075.18,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,98,6752.34,6752.34,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090380083
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Alameda Joaquim Eugênio de Lima, 30",Bela Vista,,tombado,municipal,,129.60,129.60,276928.63,1067884.56,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,108,8239.85,8547.18,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8547.18/m² (face atual: R$8239.85/m²)",,,2002-12-14,0090190023
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 486, 488",Bela Vista,,tombado,municipal,,420.00,420.00,549898.65,1765281.00,ZC,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,350,4203.05,5237.13,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5237.13/m² (face atual: R$4203.05/m²)",,,2002-12-14,0090060017
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 325",Bela Vista,,tombado,municipal,,234.00,234.00,395011.89,1580047.56,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,195,6752.34,6752.34,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090380075
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 314, 316",Bela Vista,,tombado,municipal,,73.20,73.20,79797.15,319188.60,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,61,4360.50,4360.50,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090040002
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Manoel Dutra, 303, 307",Bela Vista,,tombado,municipal,,188.40,188.40,214040.77,719716.26,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,157,3820.15,4544.39,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4544.39/m² (face atual: R$3820.15/m²)",,,2002-12-14,0090050085
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Almirante Marques de Leão, 564",Bela Vista,,tombado,municipal,,180.00,180.00,240148.35,809148.60,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,150,4495.27,5336.63,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5336.63/m² (face atual: R$4495.27/m²)",,,2002-12-14,0090180024
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Almirante Marques de Leão, 785",Bela Vista,,tombado,municipal,,138.00,138.00,294877.71,575850.54,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,115,4172.83,8547.18,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8547.18/m² (face atual: R$4172.83/m²)",,,2002-12-14,0090190079
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Veloso Guerra, 90",Bela Vista,,tombado,municipal,,132.00,132.00,168128.40,598528.92,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,110,4534.31,5094.80,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5094.80/m² (face atual: R$4534.31/m²)",,,2002-12-14,0090940034
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 749, 749",Bela Vista,,tombado,municipal,,518.40,518.40,513538.71,1980365.76,ZEIS-5,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,432,3820.15,3962.49,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3962.49/m² (face atual: R$3820.15/m²)",,,2002-12-14,0090240046
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Veloso Guerra, 43",Bela Vista,,tombado,municipal,,84.00,84.00,179490.78,458962.56,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,70,5463.84,8547.18,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8547.18/m² (face atual: R$5463.84/m²)",,,2002-12-14,0090190090
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Franceses, 15, 33",Bela Vista,,tombado,municipal,,480.00,480.00,1048936.80,3503510.40,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,400,7298.98,8741.14,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8741.14/m² (face atual: R$7298.98/m²)",,,2002-12-14,0090200001
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Rui Barbosa, 629",Bela Vista,,tombado,municipal,,196.80,196.80,317962.38,756764.88,ZEIS-5,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,164,3845.35,6462.65,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6462.65/m² (face atual: R$3845.35/m²)",,,2002-12-14,0090410034
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Manoel Dutra, 439",Bela Vista,,tombado,municipal,,204.00,204.00,222385.50,815026.92,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,170,3995.23,4360.50,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4360.50/m² (face atual: R$3995.23/m²)",,,2002-12-14,0090040039
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conselheiro Carrão, 547",Bela Vista,,tombado,municipal,,118.80,118.80,151315.56,495732.20,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,99,4172.83,5094.80,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5094.80/m² (face atual: R$4172.83/m²)",,,2002-12-14,0090940004
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 193, 195, 197",Bela Vista,,tombado,municipal,,268.80,268.80,478218.05,1912872.19,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,224,7116.34,7116.34,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090210034
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Almirante Marques de Leão, 582",Bela Vista,,tombado,municipal,,178.80,178.80,238547.36,803754.28,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,149,4495.27,5336.63,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5336.63/m² (face atual: R$4495.27/m²)",,,2002-12-14,0090180027
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Major Diogo, 566",Bela Vista,,tombado,municipal,,552.00,552.00,596707.86,2347197.84,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,460,4252.17,4323.97,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4323.97/m² (face atual: R$4252.17/m²)",,,2002-12-14,0090080017
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua São Vicente, 198, 200, 202",Bela Vista,,tombado,municipal,,199.20,199.20,235969.83,811156.34,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,166,4072.07,4738.35,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4738.35/m² (face atual: R$4072.07/m²)",,,2002-12-14,0090970146
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 804",Bela Vista,,tombado,municipal,,108.00,108.00,182313.18,495282.60,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,90,4585.95,6752.34,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6752.34/m² (face atual: R$4585.95/m²)",,,2002-12-14,0090380007
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua São Vicente, 121, 123, 127",Bela Vista,,tombado,municipal,,336.00,336.00,335706.00,1231944.00,ZEIS-3,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,280,3666.50,3996.50,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3996.50/m² (face atual: R$3666.50/m²)",,,2002-12-14,0090110037
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Manoel Dutra, 526, 534, 1240",Bela Vista,,tombado,municipal,,,,,,ZM,1,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU,,,2002-12-14,0090010000
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 668, 670",Bela Vista,,tombado,municipal,,288.00,288.00,512376.48,1316764.80,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,240,4572.10,7116.34,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$7116.34/m² (face atual: R$4572.10/m²)",,,2002-12-14,0090210047
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 744",Bela Vista,,tombado,municipal,,172.80,172.80,307425.89,790058.88,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,144,4572.10,7116.34,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$7116.34/m² (face atual: R$4572.10/m²)",,,2002-12-14,0090210037
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Franceses, 146",Bela Vista,,tombado,municipal,,208.80,208.80,446162.80,1784651.18,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,174,8547.18,8547.18,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090190043
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 340, 348, 356",Bela Vista,,tombado,municipal,,1000.00,1000.00,2154742.50,6171700.00,ZM,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,1000,6171.70,8618.97,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8618.97/m² (face atual: R$6171.70/m²)",,,2002-12-14,0090440308
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Franceses, 152",Bela Vista,,tombado,municipal,,214.80,214.80,458983.57,1835934.26,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,179,8547.18,8547.18,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090190042
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua dos Ingleses, 413",Bela Vista,,tombado,municipal,,192.00,192.00,324112.32,1296449.28,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,160,6752.34,6752.34,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090380063
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Artur Prado, 659, 697",Bela Vista,,tombado,municipal,,4189.50,4189.50,9541774.78,37338709.28,ZEU,1,0.9,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,4655,8912.45,9110.18,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$9110.18/m² (face atual: R$8912.45/m²)",,,2002-12-14,0090710464
